apps/app_center/app_center/templates/pages/app_dashboard.html +50,Recently updated,
apps/app_center/app_center/templates/pages/app_issue.py +18,Redis Server is empty in IOT HDB Settings,
apps/app_center/app_center/templates/pages/app_editor.html +38,Redo,
apps/app_center/app_center/templates/pages/app_detail.html +85,Releases,
apps/app_center/app_center/templates/pages/app_editor.html +29,Rename,
DocType: IOT Application Comment,Reply To,
apps/app_center/app_center/templates/pages/app_detail.html +188,Reply to,
apps/app_center/app_center/editor.py +407,Request Method Must be POST!,
apps/app_center/app_center/templates/pages/app_editor.html +155,Revert,
apps/app_center/app_center/templates/pages/app_editor.html +26,Revert To Specified Version,
apps/app_center/app_center/templates/pages/app_editor.html +141,Revert editor workspace to,
apps/app_center/app_center/appmgr.py +253,Review added!,
apps/app_center/app_center/appmgr.py +278,Review comment added!,
apps/app_center/app_center/appmgr.py +295,Review comment not found!,
apps/app_center/app_center/appmgr.py +293,Review comment removed!,
apps/app_center/app_center/templates/pages/app_detail.html +126,Review content,
apps/app_center/app_center/appmgr.py +264,Review deleted!,
apps/app_center/app_center/templates/pages/app_review.html +3,Review for,
apps/app_center/app_center/templates/pages/app_detail.html +82,Reviews,
apps/app_center/app_center/templates/pages/app_editor.html +35,Save File,
apps/app_center/app_center/templates/pages/app_list.html +31,Search category,
apps/app_center/app_center/templates/pages/app_store.html +86,Search supplier,
apps/app_center/app_center/templates/pages/app_modify.html +37,Select Category,
apps/app_center/app_center/templates/pages/app_modify.html +63,Select Device Supplier,
apps/app_center/app_center/templates/pages/app_modify.html +50,Select Protocol,
apps/app_center/app_center/templates/pages/app_editor.html +66,Select a file from the tree.,
DocType: IOT Application,Star,
apps/app_center/app_center/templates/pages/app_dashboard.html +257,Stars,
DocType: IOT Application Issue,Status,
apps/app_center/app_center/templates/includes/menu/app_side_menu.html +11,Store,
apps/app_center/app_center/templates/pages/app_issues.html +141,Submit,
DocType: App Device Supplier,Supplier,
apps/app_center/app_center/templates/pages/app_store.js +68,Supplier Filter,
DocType: App Category,System Manager,
apps/app_center/app_center/templates/pages/app_editor.html +22,Tag a new version,
DocType: IOT Application Version,Tested,
DocType: IOT Application Version,Tested Date,
DocType: IOT Application Version,Testing Information,
apps/app_center/app_center/templates/pages/app_editor.html +168,This will delete all local changes! Are you sure?,
DocType: IOT Application Issue,Title,
apps/app_center/app_center/templates/pages/app_dashboard.html +248,Total Installation,
apps/app_center/app_center/templates/pages/app_editor.html +37,Undo,
apps/app_center/app_center/app_center/doctype/iot_application/iot_application.js +6,Update Stars,
apps/app_center/app_center/templates/pages/app_list.html +164,Upload,
apps/app_center/app_center/templates/pages/app_detail.html +252,Upload New Version,
apps/app_center/app_center/templates/pages/app_list.html +132,Upload new version,
apps/app_center/app_center/templates/pages/app_upload.html +3,Upload release file for ,
DocType: App Developer,User,
DocType: IOT Application Version,Version,
apps/app_center/app_center/templates/pages/app_editor.html +184,Version Warning!,
apps/app_center/app_center/app_center/doctype/iot_application_version/iot_application_version.py +18,Version must be bigger than {0},
apps/app_center/app_center/editor.py +357,Version {0}  release file does not exits!,
apps/app_center/app_center/editor.py +351,Version {0} does not exits!,
apps/app_center/app_center/templates/pages/app_detail.html +355,Warning!,
apps/app_center/app_center/editor.py +366,Workspace revert success!,
apps/app_center/app_center/templates/pages/app_editor.html +175,Yes,
apps/app_center/app_center/templates/pages/app_editor.py +35,You are not the owner of application {0},
apps/app_center/app_center/app_center/doctype/iot_application/iot_application.py +57,You have already forked {0} version {1},
apps/app_center/app_center/templates/pages/app_editor.html +188,You need to either upgrade application version to {0} or revert workspace to version {1},
apps/app_center/app_center/templates/pages/app_dashboard.html +229,Your Application Statistics,
apps/app_center/app_center/templates/pages/app_list.html +17,Your Applications,
apps/app_center/app_center/templates/pages/app_list.html +3,Your applications,
apps/app_center/app_center/templates/pages/app_detail.html +195,Your comment,
apps/app_center/app_center/public/ace/worker-coffee.js +1,fs,
apps/app_center/app_center/public/ace/worker-coffee.js +1,module,
apps/app_center/app_center/public/ace/worker-coffee.js +1,path,
apps/app_center/app_center/editor.py +409,pong,
apps/app_center/app_center/public/ace/worker-coffee.js +1,vm,
